patch_cells,patch_arcmin,hole_arcmin,field,sample,gaussian_mse,gaussian_corr,void_auc,overdense_auc,peak_auc
8,3.75,1.875,south_210m35,real,1.2768117569431148,0.061423686892830565,0.7294685990338164,0.7740740740740741,0.6794871794871795
8,3.75,1.875,south_210m35,cell_permutation,1.3193957990516862,-0.008431875045933703,0.4384057971014492,0.6244897959183673,0.4061505832449629
8,3.75,1.875,south_210m35,matched_shift,1.2886787600253544,-0.0203292628599659,0.6859903381642511,0.387037037037037,0.46794871794871795
8,3.75,1.875,des_315m45,real,0.9303079121232578,0.11982997431838494,0.6676923076923077,0.7092731829573935,0.4141414141414142
8,3.75,1.875,des_315m45,cell_permutation,0.9523912201031577,0.06178542053219943,0.6080156402737048,0.5050847457627119,0.7068965517241379
8,3.75,1.875,des_315m45,matched_shift,1.009622966275925,-0.06936234262432048,0.4594871794871795,0.43358395989974935,0.4323232323232324
8,3.75,1.875,south_330m45,real,0.778052820436507,0.12223530158842717,0.6627604166666667,0.717948717948718,0.5593220338983051
8,3.75,1.875,south_330m45,cell_permutation,0.8436884576119953,0.0028351736320376274,0.4128654970760234,0.40308747855917665,0.7431693989071039
8,3.75,1.875,south_330m45,matched_shift,0.8115776692428862,-0.015575654097349423,0.5078125,0.5592948717948718,0.5457627118644068
8,3.75,1.875,south_345m30,real,1.0516164836695376,0.22454078069020394,0.7733990147783251,0.9366515837104072,0.6651785714285715
8,3.75,1.875,south_345m30,cell_permutation,1.1646113930692477,0.043933653905311315,0.44750795334040294,0.5737179487179488,0.48027444253859347
8,3.75,1.875,south_345m30,matched_shift,1.1751026658954788,-0.018734180289490546,0.5635467980295568,0.497737556561086,0.31026785714285715
16,7.5,3.75,cosmos,real,2.083440226182702,0.04456156800441811,0.9791666666666666,0.9791666666666666,0.7636363636363637
16,7.5,3.75,cosmos,cell_permutation,2.1609069976933384,0.008683103596904026,0.49090909090909096,0.6,0.12820512820512814
16,7.5,3.75,cosmos,matched_shift,2.23272561957984,-0.05439501708780608,0.6875,0.45833333333333337,0.4545454545454546
16,7.5,3.75,xmm_lss,real,2.9838904289117023,0.045312736091758316,0.6984126984126984,0.8363636363636363,0.9166666666666667
16,7.5,3.75,xmm_lss,cell_permutation,3.4685734391827374,-0.041177599644345225,0.421875,0.33333333333333337,0.39682539682539686
16,7.5,3.75,xmm_lss,matched_shift,3.196628813978859,-0.020124417895948307,0.5238095238095238,0.6909090909090909,0.7
16,7.5,3.75,cdfs,real,2.6181977637512306,0.025085672085462897,0.8363636363636364,0.6071428571428571,0.4615384615384615
16,7.5,3.75,cdfs,cell_permutation,2.7968009029839633,-0.010826806653732328,0.375,0.47916666666666663,0.29166666666666663
16,7.5,3.75,cdfs,matched_shift,2.811670314622728,-0.0060789247790149535,0.509090909090909,0.5,0.33333333333333326
16,7.5,3.75,elais_s1,real,1.7174051347210098,0.002856026991926784,0.9791666666666666,0.9583333333333334,0.33333333333333337
16,7.5,3.75,elais_s1,cell_permutation,1.7547275215187534,0.027539037479612623,0.6071428571428572,0.71875,
16,7.5,3.75,elais_s1,matched_shift,1.9145918410888805,-0.019956811615306727,0.27083333333333337,0.4583333333333333,1.0
16,7.5,3.75,south_045m30,real,1.6322536927874545,0.022002702232209227,,0.671875,0.3571428571428571
16,7.5,3.75,south_045m30,cell_permutation,1.7445552894208585,-0.024599103532532505,,0.5666666666666667,0.6666666666666666
16,7.5,3.75,south_045m30,matched_shift,1.8476386393466524,-0.06251571885342302,,0.484375,0.5
16,7.5,3.75,south_075m45,real,2.5147507901720965,-0.013000467238779389,0.9333333333333333,0.7142857142857143,0.703125
16,7.5,3.75,south_075m45,cell_permutation,2.5591722962533083,-0.023336923133597268,0.0,0.4363636363636363,0.3589743589743589
16,7.5,3.75,south_075m45,matched_shift,2.692776266688046,-0.00602065366643126,0.4666666666666667,0.6666666666666667,0.296875
16,7.5,3.75,south_105m35,real,2.4230440296852938,0.04988438763041308,0.9791666666666666,0.8833333333333333,0.84375
