field,patch_y,patch_x,z1,z2,gmm3
south_345m30,1,1,0.7930765714742661,2.0111931152031217,2
south_345m30,1,2,-3.2324496249327153,1.0158614784720195,0
south_345m30,1,3,-0.06609160025762251,2.3445095647039818,2
south_345m30,1,4,3.7597861665600254,3.3561252387893554,2
south_345m30,1,5,4.966436002997235,-0.03661965533135603,1
south_345m30,1,6,3.9839725603209493,1.402821048213875,1
south_345m30,1,7,5.359939144974846,3.2671555655648734,1
south_345m30,2,0,0.07691914396139699,0.09478781260896335,2
south_345m30,2,1,1.048533240818937,-1.1998025697724155,1
south_345m30,2,2,-1.9229815828433396,-2.035131508441532,0
south_345m30,2,3,-0.3919899656884549,-1.371311812494108,0
south_345m30,2,4,2.1880164016542647,-0.9985774886753735,1
south_345m30,2,5,6.14229940760282,-0.7154241684588202,1
south_345m30,2,6,2.533933530719012,0.44648383234688194,1
south_345m30,2,7,-0.0008394346142024389,-0.03988103794188755,0
south_345m30,3,0,3.268886514470958,-2.0492190215037738,1
south_345m30,3,1,5.1036163269460975,-2.1300337552515476,1
south_345m30,3,2,3.6479331296038815,-2.4447001914921866,1
south_345m30,3,3,0.7384639828400597,-2.1363264386487533,1
south_345m30,3,4,4.453283242633281,-1.5619786189392837,1
south_345m30,3,5,7.275513558287248,-0.35085567864892153,1
south_345m30,3,6,3.0566422061990552,-2.660937340327689,1
south_345m30,3,7,3.553530503745656,-0.7914468306874929,1
south_345m30,4,0,2.159861950019372,1.7706754226650414,2
south_345m30,4,1,-1.0130985980482787,-0.34277585782011205,0
south_345m30,4,2,-1.538293609664845,1.3817722830179018,0
south_345m30,4,3,-2.169878101097499,-0.010075924101376366,0
south_345m30,4,4,2.83381959799298,-0.6939074356043807,1
south_345m30,4,5,4.977088617384526,3.084767184877126,1
south_345m30,4,6,2.5845850488797373,3.5928614828846586,2
south_345m30,4,7,2.265559853486545,-0.3139327952138782,1
south_345m30,5,0,-1.7294050313275093,-1.4833696419910694,0
south_345m30,5,1,5.1039547878283855,-0.7004001089478524,1
south_345m30,5,2,-0.5088808994971996,-1.9415114526020645,0
south_345m30,5,3,-3.465893132928878,-1.4821557872362714,0
south_345m30,5,4,1.7196202469365742,-3.2498169068907288,1
south_345m30,5,5,2.853217295725961,-1.3007701238019147,1
south_345m30,5,6,2.563234951172894,0.8495756479714446,1
south_345m30,5,7,2.9863818310154397,0.7284125422735406,1
south_345m30,6,0,-0.6490986654155428,1.730030421402437,2
south_345m30,6,1,4.4192739114519215,-1.0299379123217869,1
