selection,field,sample,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
allbands,south_075m45,real,0.6907993966817497,0.6260416666666666,0.6854928017718716,0.132504826251897,1.048798147731447
allbands,south_075m45,matched_shift,0.49170437405731526,0.525,0.46843853820598,0.028826862206514425,1.079790875571114
allbands,south_105m35,real,,1.0,1.0,0.8947390641416286,0.17904533534990816
allbands,south_105m35,matched_shift,,0.5551724137931034,0.512807881773399,0.031392953531840115,1.8792498373358717
allbands,south_135m25,real,0.9190821256038647,0.7984496124031008,,0.7281274489026817,0.5009552894074929
allbands,south_135m25,matched_shift,0.4444444444444444,0.5116279069767442,,-0.02534793374177963,1.195128406300423
allbands,south_210m35,real,0.82,0.8045977011494253,0.6474576271186441,0.28546238428922,0.8292105065584097
allbands,south_210m35,matched_shift,0.5942857142857143,0.40804597701149425,0.5728813559322034,0.03356631875528235,0.9527618095025865
allbands,des_315m45,real,0.6497975708502025,0.75,0.3981481481481482,0.16127311827817073,0.8387431379956063
allbands,des_315m45,matched_shift,0.46255060728744946,0.5775862068965518,0.5333333333333334,-0.06113383000039112,0.9103243226937991
allbands,south_330m45,real,0.7134502923976608,0.7135506003430532,0.632183908045977,0.1507874887957689,0.7037023557298323
allbands,south_330m45,matched_shift,0.4842105263157895,0.6089193825042882,0.6666666666666667,-0.020635196345786574,0.743915895886594
allbands,south_345m30,real,0.8551587301587301,0.9037037037037038,0.9523809523809523,0.43088549741015997,0.5034644830956032
allbands,south_345m30,matched_shift,0.49107142857142855,0.4611111111111111,0.6825396825396826,-0.0773673476270046,0.6989128317375042
clean_allbands,cosmos,real,0.8830409356725146,0.8112820512820513,0.6742424242424242,0.5220326490720576,0.8822146837276684
clean_allbands,cosmos,matched_shift,0.5146198830409356,0.5641025641025641,0.5422077922077922,0.020564101312802008,1.2748849163404337
clean_allbands,xmm_lss,real,0.8555555555555556,0.6444444444444444,0.5985714285714285,0.28157240331267414,0.7843769376373757
clean_allbands,xmm_lss,matched_shift,0.5537037037037037,0.43625730994152045,0.4357142857142857,0.040599701134901627,0.8671833007933872
clean_allbands,cdfs,real,0.685515873015873,0.7694235588972431,0.6175438596491228,0.37931330085237186,1.2497700948423291
clean_allbands,cdfs,matched_shift,0.4761904761904762,0.581453634085213,0.5976608187134502,-0.045384185166166706,1.6035658258731424
clean_allbands,elais_s1,real,0.8639455782312926,0.5685185185185185,0.8305084745762712,0.4942293143818473,0.7973175508129906
clean_allbands,elais_s1,matched_shift,0.5591836734693878,0.5444444444444445,0.5694915254237288,-0.043388164764907436,1.1447645291397597
clean_allbands,south_045m30,real,0.9374999999999999,0.6733416770963704,0.5338345864661654,0.4759039182946303,0.6583064981333936
clean_allbands,south_045m30,matched_shift,0.3973214285714286,0.4618272841051314,0.5137844611528821,-0.022066414536082844,0.9282827461292389
clean_allbands,south_075m45,real,0.8023391812865497,0.8033854166666666,0.696590909090909,0.4606787408773663,1.067179693324006
clean_allbands,south_075m45,matched_shift,0.43391812865497076,0.4765625,0.42272727272727273,0.008541630728825633,1.4325056500291684
clean_allbands,south_105m35,real,,1.0,1.0,0.8641512529927943,0.1589319401402708
clean_allbands,south_105m35,matched_shift,,0.5374384236453202,0.5413793103448276,0.022936809900518083,1.4155690372977257
