mask,field,sample,method,hidden_fraction,mse,corr
stripe25,elais_s1,matched_shift,pca,0.25,1.2651140149411697,-0.049572543641401144
stripe25,elais_s1,matched_shift,knn20,0.25,0.8455838855095607,-0.008770398194488356
stripe25,south_045m30,real,mean,0.25,0.7343901639298933,-0.010816453934246784
stripe25,south_045m30,real,gaussian,0.25,0.7202615763271765,0.13229484555691143
stripe25,south_045m30,real,pca,0.25,0.9617511164163197,0.09515537413574572
stripe25,south_045m30,real,knn20,0.25,0.7328892559875941,0.06528533655313279
stripe25,south_045m30,matched_shift,mean,0.25,0.7343901639298933,-0.010816453934246784
stripe25,south_045m30,matched_shift,gaussian,0.25,0.7733170262695683,0.00626398848367801
stripe25,south_045m30,matched_shift,pca,0.25,1.1503997920032119,0.02740574756639453
stripe25,south_045m30,matched_shift,knn20,0.25,0.7694693795482797,0.024717085000972437
stripe25,south_075m45,real,mean,0.25,1.132965509872672,0.08851294825718221
stripe25,south_075m45,real,gaussian,0.25,1.1529676582434867,0.0991994978068758
stripe25,south_075m45,real,pca,0.25,1.590592639385417,0.09131123786062492
stripe25,south_075m45,real,knn20,0.25,1.118041663054579,0.08689905499383851
stripe25,south_075m45,matched_shift,mean,0.25,1.132965509872672,0.08851294825718221
stripe25,south_075m45,matched_shift,gaussian,0.25,1.1733601805947202,0.04159049280057131
stripe25,south_075m45,matched_shift,pca,0.25,1.7362828481417107,0.01853401012666041
stripe25,south_075m45,matched_shift,knn20,0.25,1.1849740345727318,-0.035276822519827306
stripe25,south_105m35,real,mean,0.25,1.1363802255985465,-0.017685796442112302
stripe25,south_105m35,real,gaussian,0.25,1.1798697211673792,0.11010495988147348
stripe25,south_105m35,real,pca,0.25,1.5504857062719968,0.07752537655099576
stripe25,south_105m35,real,knn20,0.25,1.1442740469884165,0.12193655658619881
stripe25,south_105m35,matched_shift,mean,0.25,1.1363802255985465,-0.017685796442112302
stripe25,south_105m35,matched_shift,gaussian,0.25,1.2575414495499846,-0.06860719858867292
stripe25,south_105m35,matched_shift,pca,0.25,2.0240056574293197,-0.07866372866512036
stripe25,south_105m35,matched_shift,knn20,0.25,1.213761726847447,-0.05853914871368057
stripe25,south_135m25,real,mean,0.25,0.9787379991826426,0.0005170042543187382
stripe25,south_135m25,real,gaussian,0.25,1.011751333939003,0.10996083655055858
stripe25,south_135m25,real,pca,0.25,1.3433347059410328,0.0964242363293404
stripe25,south_135m25,real,knn20,0.25,0.9997620920578948,0.08431380086252085
stripe25,south_135m25,matched_shift,mean,0.25,0.9787379991826426,0.0005170042543187382
stripe25,south_135m25,matched_shift,gaussian,0.25,0.9878807386958062,0.09783029357106117
stripe25,south_135m25,matched_shift,pca,0.25,1.3608577502318628,0.08311011527184659
stripe25,south_135m25,matched_shift,knn20,0.25,1.0246817897341298,-0.0023019611125620785
stripe25,south_210m35,real,mean,0.25,1.1669199422923096,-0.07595473680738705
stripe25,south_210m35,real,gaussian,0.25,1.2282369529242212,0.0830071577523486
stripe25,south_210m35,real,pca,0.25,1.6576339454810198,0.07433542229211738
stripe25,south_210m35,real,knn20,0.25,1.1709601959431246,0.10280362187562521
stripe25,south_210m35,matched_shift,mean,0.25,1.1669199422923096,-0.07595473680738705
stripe25,south_210m35,matched_shift,gaussian,0.25,1.25512871268081,-0.022655167158804255
stripe25,south_210m35,matched_shift,pca,0.25,1.8162662924099915,-0.004329546775848297
stripe25,south_210m35,matched_shift,knn20,0.25,1.2161205251427436,-0.010931333004336243
stripe25,des_315m45,real,mean,0.25,0.927326129498849,-0.030110186741594606
stripe25,des_315m45,real,gaussian,0.25,0.9668898209707024,0.05792850995969983
stripe25,des_315m45,real,pca,0.25,1.347576836077192,-0.006167972111604185
stripe25,des_315m45,real,knn20,0.25,0.9696953659187543,0.03538690057452774
stripe25,des_315m45,matched_shift,mean,0.25,0.927326129498849,-0.030110186741594606
stripe25,des_315m45,matched_shift,gaussian,0.25,0.9762157287422656,0.007940062919494386
stripe25,des_315m45,matched_shift,pca,0.25,1.3752159039628964,0.008676258774523821
stripe25,des_315m45,matched_shift,knn20,0.25,0.9603515037190595,0.03003810145479667
stripe25,south_330m45,real,mean,0.25,0.7444954434862924,-0.03289908430650557
stripe25,south_330m45,real,gaussian,0.25,0.7450729556167514,0.1635049056992419
stripe25,south_330m45,real,pca,0.25,1.018461717914537,0.10428796266171735
stripe25,south_330m45,real,knn20,0.25,0.7795166895563006,0.05077476724072319
stripe25,south_330m45,matched_shift,mean,0.25,0.7444954434862924,-0.03289908430650557
stripe25,south_330m45,matched_shift,gaussian,0.25,0.7781243170288177,0.04462416384122893
stripe25,south_330m45,matched_shift,pca,0.25,1.1617817661959484,0.04809968084318125
stripe25,south_330m45,matched_shift,knn20,0.25,0.7885033870929967,0.015591173402440093
stripe25,south_345m30,real,mean,0.25,1.0835585789081938,0.01299456956739265
stripe25,south_345m30,real,gaussian,0.25,1.0046467813877473,0.27055099147113765
